filename,attractiveness_score
100.jpg,2.638666868209839
101.jpg,2.8156559467315674
102.jpg,2.2384328842163086
103.jpg,2.3063912391662598
104.jpg,2.3872499465942383
105.jpg,2.1418395042419434
106.jpg,2.766481399536133
107.jpg,2.7550251483917236
108.jpg,2.5270729064941406
109.jpg,2.2760300636291504
110.jpg,2.7308521270751953
111.jpg,2.469404458999634
112.jpg,2.7939705848693848
113.jpg,3.1503560543060303
114.jpg,3.3460044860839844
115.jpg,2.8573381900787354
116.jpg,3.126849412918091
117.jpg,2.650055408477783
118.jpg,2.153796434402466
119.jpg,2.684356927871704
120.jpg,3.139024019241333
121.jpg,3.0293023586273193
122.jpg,3.249138116836548
123.jpg,2.741969108581543
125.jpg,3.022362232208252
126.jpg,3.37947416305542
127.jpg,3.3252816200256348
128.jpg,3.147181272506714
129.jpg,3.135077476501465
130.jpg,3.358765125274658
131.jpg,2.5623159408569336
132.jpg,2.7896504402160645
133.jpg,2.6646130084991455
135.jpg,2.819289207458496
136.jpg,3.0732052326202393
137.jpg,2.9991209506988525
138.jpg,3.2074620723724365
139.jpg,3.203279733657837
140.jpg,3.0606577396392822
141.jpg,3.120594024658203
142.jpg,2.325774908065796
143.jpg,2.104127883911133
144.jpg,1.8785183429718018
145.jpg,2.356792449951172
146.jpg,2.6144943237304688
147.jpg,2.1888296604156494
148.jpg,2.316528797149658
149.jpg,2.9141788482666016
150.jpg,3.2589850425720215
151.jpg,2.772352695465088
152.jpg,2.6860156059265137
153.jpg,2.2950515747070312
154.jpg,2.007859706878662
155.jpg,2.898303985595703
156.jpg,2.967503070831299
157.jpg,3.128789186477661
158.jpg,3.0923023223876953
159.jpg,3.3457417488098145
160.jpg,2.9337737560272217
161.jpg,3.0005712509155273
162.jpg,2.8970985412597656
163.jpg,2.947692394256592
164.jpg,2.8633391857147217
165.jpg,2.7537455558776855
166.jpg,2.9079225063323975
176.jpg,3.0366971492767334
177.jpg,2.4176602363586426
178.jpg,2.615373134613037
179.jpg,2.937474250793457
180.jpg,2.495605707168579
181.jpg,2.7865731716156006
182.jpg,2.075998544692993
183.jpg,2.6766505241394043
184.jpg,3.2428479194641113
199.jpg,3.6818699836730957
203.jpg,3.3001513481140137
204.jpg,2.7302920818328857
206.jpg,3.2007670402526855
213.jpg,3.1880104541778564
215.jpg,3.5468432903289795
216.jpg,3.728774070739746
217.jpg,3.566643238067627
218.jpg,3.643789529800415
219.jpg,3.616851806640625
220.jpg,3.727998971939087
221.jpg,3.5315845012664795
222.jpg,3.5622928142547607
223.jpg,3.499931812286377
224.jpg,3.4033942222595215
225.jpg,3.5704293251037598
226.jpg,3.5760598182678223
227.jpg,3.7049129009246826
228.jpg,3.7080705165863037
258.jpg,2.5376029014587402
259.jpg,2.095963954925537
260.jpg,2.992990493774414
261.jpg,2.832472085952759
262.jpg,2.255974769592285
263.jpg,2.4550366401672363
264.jpg,2.3049087524414062
265.jpg,2.4217660427093506
266.jpg,2.544694662094116
267.jpg,3.057952880859375
268.jpg,2.316443920135498
293.jpg,2.380633592605591
294.jpg,2.54099702835083
295.jpg,2.9308927059173584
296.jpg,2.954819679260254
297.jpg,2.873277425765991
298.jpg,2.4661500453948975
299.jpg,2.522569179534912
300.jpg,2.8348987102508545
301.jpg,2.787475347518921
302.jpg,2.939272165298462
303.jpg,2.7320058345794678
304.jpg,2.8706562519073486
305.jpg,2.9891068935394287
306.jpg,2.462062120437622
307.jpg,2.7387471199035645
353.jpg,2.975980520248413
371.jpg,2.1693873405456543
372.jpg,2.47116756439209
373.jpg,2.7014546394348145
374.jpg,2.7052135467529297
375.jpg,2.5766043663024902
376.jpg,2.8866662979125977
377.jpg,3.164508819580078
378.jpg,3.108126640319824
379.jpg,3.1461093425750732
380.jpg,2.7293708324432373
381.jpg,2.69893741607666
382.jpg,2.7414650917053223
383.jpg,2.4176878929138184
404.jpg,2.7639920711517334
411.jpg,3.1296749114990234
412.jpg,3.3570973873138428
413.jpg,2.3678994178771973
414.jpg,3.005281686782837
415.jpg,2.7627999782562256
416.jpg,2.5093166828155518
417.jpg,3.086437225341797
418.jpg,2.878343343734741
419.jpg,2.669527530670166
420.jpg,3.1343488693237305
421.jpg,2.965571403503418
422.jpg,2.3378095626831055
423.jpg,2.461233139038086
424.jpg,2.622211456298828
425.jpg,3.0175893306732178
426.jpg,2.743734359741211
427.jpg,2.3135411739349365
428.jpg,2.902615547180176
429.jpg,3.4670324325561523
43.jpg,3.162181854248047
431.jpg,2.8264760971069336
432.jpg,2.41029691696167
433.jpg,3.405261278152466
434.jpg,3.6973633766174316
435.jpg,3.448683500289917
436.jpg,3.451873779296875
437.jpg,2.2841765880584717
438.jpg,2.1625914573669434
439.jpg,2.714731216430664
44.jpg,3.269411563873291
440.jpg,3.0428452491760254
441.jpg,2.8142480850219727
442.jpg,2.164449691772461
443.jpg,2.7577266693115234
444.jpg,2.839494228363037
445.jpg,2.319236993789673
446.jpg,2.5736336708068848
447.jpg,3.187744617462158
448.jpg,3.0081770420074463
449.jpg,2.916635513305664
450.jpg,2.8239426612854004
452.jpg,2.8013272285461426
453.jpg,2.1977734565734863
454.jpg,2.2856383323669434
455.jpg,2.3938164710998535
456.jpg,2.5328409671783447
457.jpg,2.7223122119903564
458.jpg,2.720536708831787
459.jpg,3.0348010063171387
46.jpg,2.613593816757202
460.jpg,2.7739617824554443
461.jpg,2.0690834522247314
462.jpg,2.301248550415039
463.jpg,2.9762492179870605
464.jpg,3.287503242492676
465.jpg,3.0401480197906494
466.jpg,2.5981786251068115
467.jpg,2.624298334121704
468.jpg,2.956996440887451
47.jpg,3.2049193382263184
470.jpg,2.381983757019043
471.jpg,2.77547287940979
472.jpg,2.6023752689361572
473.jpg,2.3601982593536377
474.jpg,2.5881896018981934
475.jpg,2.3371338844299316
476.jpg,2.4915614128112793
477.jpg,2.2447707653045654
478.jpg,2.591409683227539
479.jpg,2.7879724502563477
48.jpg,3.1249840259552
480.jpg,2.8217179775238037
481.jpg,2.215269088745117
482.jpg,2.349653482437134
483.jpg,2.9738259315490723
484.jpg,3.0622329711914062
485.jpg,3.059391498565674
486.jpg,3.0415351390838623
487.jpg,2.9280459880828857
488.jpg,3.120645761489868
489.jpg,3.0262699127197266
49.jpg,3.4092907905578613
490.jpg,3.172792434692383
491.jpg,2.1688854694366455
492.jpg,2.468050956726074
493.jpg,2.2087318897247314
494.jpg,2.5711703300476074
495.jpg,2.765098810195923
496.jpg,2.2138404846191406
497.jpg,2.3086037635803223
498.jpg,2.24818754196167
499.jpg,2.5898656845092773
50.jpg,3.317136287689209
500.jpg,2.808633804321289
501.jpg,2.943443775177002
504.jpg,3.078598737716675
506.jpg,2.954362392425537
507.jpg,3.071324110031128
509.jpg,3.2125699520111084
51.jpg,3.2127432823181152
510.jpg,2.4122538566589355
511.jpg,2.6928293704986572
512.jpg,2.7689974308013916
513.jpg,2.117903709411621
514.jpg,2.3134679794311523
515.jpg,2.131471633911133
516.jpg,2.550699234008789
517.jpg,2.7649707794189453
518.jpg,2.3019468784332275
519.jpg,2.6167654991149902
52.jpg,2.122365713119507
520.jpg,2.6838624477386475
521.jpg,2.829723596572876
522.jpg,2.3883280754089355
523.jpg,2.109407424926758
524.jpg,2.294529676437378
525.jpg,2.984732151031494
526.jpg,3.017857551574707
527.jpg,2.906468391418457
528.jpg,2.715193271636963
529.jpg,2.4951369762420654
53.jpg,2.2735047340393066
530.jpg,3.076193332672119
531.jpg,3.008321762084961
532.jpg,3.038357734680176
533.jpg,3.127117156982422
534.jpg,3.151615858078003
535.jpg,2.9985241889953613
536.jpg,3.0980818271636963
537.jpg,2.9474167823791504
538.jpg,2.9862453937530518
539.jpg,2.0240731239318848
54.jpg,2.195997714996338
540.jpg,2.3224525451660156
541.jpg,2.287971019744873
542.jpg,2.2865281105041504
543.jpg,2.371835708618164
544.jpg,2.3017401695251465
545.jpg,2.427011489868164
546.jpg,2.2262187004089355
547.jpg,2.269082546234131
548.jpg,2.7841196060180664
549.jpg,2.16544246673584
55.jpg,3.109009027481079
550.jpg,2.7213640213012695
551.jpg,2.4821956157684326
552.jpg,2.5219054222106934
553.jpg,2.9587478637695312
56.jpg,2.1354174613952637
57.jpg,2.4845943450927734
58.jpg,2.241726875305176
59.jpg,2.1372525691986084
60.jpg,2.6250407695770264
